run_id,version,target,window_start,window_end,train_games,test_games,total_bets,wins,losses,win_rate,initial_bankroll,final_bankroll,total_roi,max_drawdown,sharpe_ratio,brier_score,auc,avg_edge,min_edge_threshold,kelly_fraction,auc_gate,min_prob,max_bet_frac,auc_gate_fired
984950a0,wf_v2,total_over,2019-06-06 00:00:00,2020-08-14 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.3091,0.5307,0.0,0.05,0.25,0.58,0.55,0.1,1
da83dc68,wf_v2,total_over,2019-06-15 00:00:00,2020-08-22 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2653,0.3618,0.0,0.05,0.25,0.58,0.55,0.1,1
f19b6903,wf_v2,total_over,2019-06-26 00:00:00,2020-09-01 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2207,0.506,0.0,0.05,0.25,0.58,0.55,0.1,1
2dfba677,wf_v2,total_over,2019-07-07 00:00:00,2020-09-08 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2352,0.4972,0.0,0.05,0.25,0.58,0.55,0.1,1
6f38b8ff,wf_v2,total_over,2019-07-17 00:00:00,2021-05-14 00:00:00,200,40,38,24,14,0.6316,1000.0,2503.05,1.5031,0.2596,2.0741,0.2245,0.5907,0.1778,0.05,0.25,0.58,0.55,0.1,0
496f795b,wf_v2,total_over,2019-07-31 00:00:00,2021-05-25 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2556,0.5,0.0,0.05,0.25,0.58,0.55,0.1,1
f2bd987f,wf_v2,total_over,2019-08-11 00:00:00,2021-06-03 00:00:00,200,40,39,23,16,0.5897,1000.0,1922.25,0.9222,0.3025,1.3526,0.2355,0.6752,0.1882,0.05,0.25,0.58,0.55,0.1,0
c0a0bf68,wf_v2,total_over,2019-08-20 00:00:00,2021-06-13 00:00:00,200,40,37,22,15,0.5946,1000.0,1711.67,0.7117,0.2912,1.2619,0.2374,0.6023,0.1701,0.05,0.25,0.58,0.55,0.1,0
b2c56b3b,wf_v2,total_over,2019-08-29 00:00:00,2021-06-24 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2616,0.4924,0.0,0.05,0.25,0.58,0.55,0.1,1
83187e9e,wf_v2,total_over,2019-09-08 00:00:00,2021-07-04 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2788,0.3864,0.0,0.05,0.25,0.58,0.55,0.1,1
716b7dd7,wf_v2,total_over,2020-07-31 00:00:00,2021-08-15 00:00:00,200,40,37,20,17,0.5405,1000.0,1359.58,0.3596,0.3509,0.8262,0.2449,0.6216,0.1372,0.05,0.25,0.58,0.55,0.1,0
c92b7c45,wf_v2,total_over,2020-08-08 00:00:00,2021-08-24 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2805,0.4697,0.0,0.05,0.25,0.58,0.55,0.1,1
fdc207ec,wf_v2,total_over,2020-08-14 00:00:00,2021-09-04 00:00:00,200,40,0,0,0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.2907,0.4437,0.0,0.05,0.25,0.58,0.55,0.1,1
1312934e,wf_v2,total_over,2020-08-22 00:00:00,2021-09-17 00:00:00,200,40,18,6,12,0.3333,1000.0,746.82,-0.2532,0.4166,-1.2893,0.268,0.6097,0.138,0.05,0.25,0.58,0.55,0.1,0
